Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
136,80,10400,7,6,1970,1970,1682,0,1682,0,0,2,0,3,1,7,1,2,530,0,0,0,0,0,174000
1453,35,3675,5,5,2005,2005,1072,0,1072,1,0,1,0,2,1,5,0,2,525,28,0,0,0,0,145000
763,72,8640,7,5,2009,2009,764,783,1547,0,0,2,1,3,1,7,0,2,614,45,0,0,0,0,215200
933,84,11670,9,5,2006,2006,1905,0,1905,0,0,2,0,3,1,8,1,3,788,191,0,0,0,0,320000
436,43,10667,7,6,1996,1996,827,834,1661,1,0,2,1,3,1,6,1,2,550,61,0,0,0,0,212000
630,82,9020,6,5,1964,1964,1350,0,1350,1,0,1,1,3,1,6,0,2,520,0,0,0,0,0,168500
1211,70,11218,6,5,1992,1992,1055,790,1845,0,0,2,1,3,1,8,1,2,462,104,0,0,0,0,189000
1119,85,13825,5,6,1958,1987,1021,580,1601,0,1,1,0,3,1,6,0,1,300,34,0,0,0,0,140000
1085,70,13031,6,5,1995,1996,691,807,1498,0,0,2,1,3,1,6,1,2,409,44,0,0,0,0,187500
159,100,12552,7,5,2004,2005,991,956,1947,0,0,2,1,3,1,8,1,2,678,136,0,0,0,0,254900
968,70,7390,5,7,1955,1955,1098,0,1098,1,0,1,0,3,1,6,0,1,260,0,0,0,0,0,135000
1260,65,9750,6,8,1969,1969,1054,0,1054,1,0,1,1,3,1,6,0,2,460,0,0,0,80,0,151000
552,50,6000,5,6,1957,1957,928,0,928,0,0,1,0,3,1,5,0,1,288,0,0,0,0,0,112500
498,60,9120,7,6,1925,1950,1133,687,1820,1,0,2,0,4,1,8,0,1,240,100,0,0,0,0,184000
1032,102,15863,7,3,1920,1970,1687,998,3082,1,0,2,1,5,1,12,2,2,672,63,0,0,0,0,197000
1263,70,11250,4,5,1957,1989,1104,684,1788,1,0,1,0,5,1,8,2,1,304,0,0,0,0,0,161500
1014,60,7200,5,4,1910,2006,1022,0,1022,1,0,1,0,2,1,4,0,1,280,30,226,0,0,0,85000
1312,68,8814,7,5,2005,2007,1274,0,1274,1,0,2,0,3,1,6,0,2,508,98,0,0,0,0,203000
567,77,11198,9,5,2005,2007,1134,1370,2504,0,0,2,1,4,1,11,1,3,656,39,0,0,0,0,325000
611,70,11050,9,5,2000,2000,1476,677,2153,1,0,2,1,3,1,8,2,3,736,142,0,0,0,0,313000
1279,75,9473,8,5,2002,2002,1128,903,2031,1,0,2,1,3,1,7,1,2,577,211,0,0,0,0,237000
1264,60,13515,6,6,1919,1950,1060,764,1824,0,0,1,0,3,1,8,1,2,520,0,126,0,0,0,180500
817,70,11425,5,6,1954,1954,1008,0,1008,0,0,1,0,2,1,4,1,1,275,0,120,0,0,0,137000
439,40,4280,5,6,1913,2002,694,0,694,0,0,1,0,2,1,4,1,1,352,0,34,0,0,0,90350
941,55,12640,6,5,1976,1976,1728,0,1728,0,0,2,0,4,2,8,0,2,574,0,0,0,0,0,150900
97,78,10264,7,5,1999,1999,1588,0,1588,0,0,2,0,3,1,6,0,2,472,29,0,0,0,0,214000
561,70,11341,5,6,1957,1996,1392,0,1392,1,0,1,1,3,1,5,1,2,528,0,0,0,95,0,121500
1183,160,15623,10,5,1996,1996,2411,2065,4476,1,0,3,1,4,1,10,2,3,813,78,0,0,0,555,745000
472,92,11952,7,6,1977,1977,1161,808,1969,0,0,2,1,3,1,8,1,2,534,0,0,0,276,0,190000
1005,43,3182,7,5,2005,2006,1504,0,1504,0,0,2,0,1,1,7,1,2,457,0,0,0,0,0,181000
411,68,9571,5,3,1958,1958,1276,0,1276,0,0,1,0,3,1,5,0,1,350,0,0,0,0,0,60000
964,122,11923,9,5,2007,2007,1800,0,1800,0,0,2,0,2,1,7,0,2,702,136,0,0,0,0,239000
583,81,11841,6,5,1990,1990,816,0,816,1,0,1,0,3,1,5,0,0,0,32,0,0,0,0,118500
157,60,7200,5,7,1950,1950,1040,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,109500
595,88,7990,5,6,1975,1975,924,0,924,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,110000
618,59,7227,6,6,1954,1954,832,0,832,0,0,1,0,2,1,4,0,2,528,0,0,0,0,0,105500
448,70,11214,7,5,1998,1999,956,930,1886,0,0,2,1,4,1,10,1,2,431,0,0,0,0,0,199900
1206,90,14684,7,7,1990,1991,2196,0,2196,0,0,2,0,3,1,7,1,3,701,70,0,0,0,0,271900
862,75,11625,5,4,1965,1965,1039,0,1039,1,0,1,1,3,1,6,0,2,504,0,0,0,0,0,131500
1011,115,21286,5,5,1948,1950,720,551,1271,0,0,2,0,4,1,7,1,1,312,0,108,0,0,0,135000
391,50,8405,5,8,1900,1950,961,406,1367,1,0,1,0,4,1,7,0,1,384,130,112,0,0,0,119000
1410,46,20544,7,6,1986,1991,1236,857,2093,0,0,2,1,3,1,7,1,2,542,63,0,0,0,0,215000
848,36,15523,5,6,1972,1972,864,0,864,1,0,1,0,3,1,5,1,1,338,0,0,0,0,0,133500
1285,50,9638,6,7,1919,1990,1699,748,2447,0,0,2,0,4,1,10,1,1,336,0,42,0,116,0,169000
616,80,8800,6,7,1963,1963,1054,0,1054,1,0,1,0,3,1,6,0,2,480,0,0,0,0,0,137500
614,70,8402,5,5,2007,2007,1120,0,1120,0,0,1,0,3,1,6,0,0,0,30,0,0,0,0,147000
1304,73,8688,7,5,2005,2005,1616,0,1616,0,0,2,0,3,1,7,0,3,834,59,0,0,0,0,232000
487,79,10289,5,7,1965,1965,1073,0,1073,1,0,1,1,3,1,6,0,2,515,0,0,0,0,0,156000
562,77,10010,5,5,1974,1975,1389,0,1389,1,0,1,0,2,1,6,1,2,418,38,0,0,0,0,170000
309,70,12342,4,5,1940,1950,861,0,861,0,0,1,0,1,1,4,0,2,539,0,0,0,0,0,82500
462,60,7200,7,9,1936,2007,575,560,1135,1,0,1,0,3,1,6,0,2,576,0,0,0,0,0,155000
1143,77,9965,8,5,2006,2007,1466,1362,2828,1,0,3,0,4,1,11,1,3,1052,144,0,0,0,0,424870
731,39,5389,8,5,1995,1996,1616,0,1616,1,0,2,0,2,1,5,1,2,608,152,0,0,0,0,236500
1156,90,10768,5,8,1976,2004,1437,0,1437,1,0,2,0,3,1,6,1,2,528,21,0,0,180,0,218000
1204,75,9750,7,5,2000,2001,1630,0,1630,0,0,2,0,3,1,6,1,2,451,234,0,0,0,0,213000
701,85,14331,8,5,2002,2002,1800,0,1800,1,0,2,0,3,1,7,1,3,765,78,0,0,0,0,312500
850,80,9600,6,7,1976,1994,1094,761,1855,0,0,2,1,3,1,7,1,2,512,100,0,0,0,0,187000
1261,70,24682,6,5,1999,1999,892,783,1675,0,0,2,1,3,1,7,1,2,502,103,0,0,0,0,181000
788,76,10142,7,5,2004,2004,956,1128,2084,1,0,2,1,4,1,8,0,2,618,45,0,0,0,0,233000
353,60,9084,5,6,1941,1950,616,495,1111,0,1,1,0,3,1,5,0,1,200,0,0,0,0,0,95000
711,56,4130,3,6,1935,2003,729,0,729,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,52000
125,48,17043,6,5,1979,1998,1586,0,1586,0,0,2,0,3,1,7,1,2,435,0,0,0,0,0,181000
179,63,17423,9,5,2008,2009,2234,0,2234,1,0,2,0,1,1,9,1,3,1166,60,0,0,0,0,501837
288,70,8125,4,4,1971,1971,858,0,858,0,0,1,0,3,1,5,0,0,0,0,0,0,0,0,88000
1408,70,8780,5,5,1985,1985,833,0,833,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,112000
1209,70,7763,5,7,1962,1980,1283,0,1283,1,0,1,0,3,1,6,0,2,506,0,0,0,0,0,140000
295,80,9600,6,5,1953,1953,1644,0,1644,1,0,1,0,3,1,7,2,2,418,0,0,0,0,0,167000
328,80,11600,6,5,1960,1960,1383,0,1383,0,0,1,1,3,1,7,0,1,292,45,0,0,0,0,145250
1457,85,13175,6,6,1978,1988,2073,0,2073,1,0,2,0,3,1,7,2,2,500,0,0,0,0,0,210000
842,60,10440,5,8,1904,2002,958,581,1539,0,0,2,0,3,1,8,1,2,686,78,68,0,0,0,157500
1122,84,10084,7,5,2005,2006,1552,0,1552,0,0,2,0,3,1,7,0,3,782,20,0,0,0,0,212900
932,70,9100,5,6,1965,1965,925,0,925,0,1,1,0,2,1,5,0,1,429,0,0,0,0,0,117500
237,65,8773,7,5,2004,2004,1414,0,1414,0,0,2,0,3,1,6,0,2,494,105,0,0,0,0,185500
89,105,8470,3,2,1915,1982,1013,0,1526,0,0,1,0,2,1,6,0,0,0,0,156,0,0,0,85000
